,text
671,limpian musica volumen
672,surge cualquier imprevisto
673,15h pesar solicitarlo
674,contacto establecimiento dicen
675,contacto establecimiento
676,llegaban clientes vez
677,explicacion llegaban clientes
678,opuesto ciudad restaurantes
679,barrio monumental lado
680,devuelvan dinero cancelacion
681,cancelacion gratuita cobraron
682,comenzo alerta covid
683,alerta covid 19
684,habitacion tiempo covid
685,seguidas abandonar habitacion
686,claustrofobica solo ventana
687,resultaba claustrofobica solo
688,negativa pagamos habitacion
689,pagamos habitacion doble
690,llegamos noche habitacion
691,entrar habitaciones digo
692,telefono olvide telefono
693,telefono olvide
694,semana derby justo
695,semana mes pude
696,descansar busca sitio
697,buscas descansar
698,hostal situacion excepcional
699,situacion excepcional hostal
700,ceniza colchones sofa
701,suficiemte agua caliente
702,decepcion recomendados amigos
703,tipo compensacion apartamento
704,armarios empotrados humedad
705,metalicas oxidadas armarios
706,olor tabaco apartamentos
707,zona tranquila sevilla
708,anticipadamente mail llegaria
709,mail llegaria llegar
710,hostal sucio sabanas
711,ladrones sin verguenzas
712,comentarios tripadvisor esperabamos
713,contratamos habitacion bano
714,esfuerzo descuidado controlados
715,pequeno descuidado ventanas
716,habitacion sin ventana
717,habitacion doble bano
718,wifi funciona
719,cerca wifi funciona
720,hostal barato sevilla
721,bastante sucio habitacion
722,amable serviciales sucio
723,serviciales sucio sitio
724,septiembre dormitorio camas
725,dormitorio camas recepcion
726,encargada parking vez
727,desastre sistema check
728,encargada parking vez
729,desastre sistema check
730,encargada parking vez
731,desastre sistema check
732,habitaciones limpias
733,habitaciones pequenas anticuadas
734,adelantado cancelacion gratuita
735,cancelacion gratuita
736,sitio recomiendo decoracion
737,decoracion inclasificable entrada
738,motivos devolvieron dinero
739,nefasto mala experiencia
740,digo habitaciones reservamos
741,olores tabaco habitaciones
742,adelantado cancelacion gratuita
743,cancelacion gratuita
744,sitio recomiendo decoracion
745,decoracion inclasificable entrada
746,motivos devolvieron dinero
747,nefasto mala experiencia
748,digo habitaciones reservamos
749,olores tabaco habitaciones
750,cuidado bordes cliente
751,cliente alguien molesta
752,cuidados cosa habitacion
753,asignaron habitacion individual
754,primeramente dicen booking
755,booking com habitacion
756,cuidar atencion calidad
757,relacion calidad precio
758,mejorar habitaciones servicios
759,mejor calidad servicio
760,cargaran gastos cancelacion
761,gastos cancelacion pidieron
762,booking parecio centrico
763,hostal centrico bien
764,toco habitacion abajo
765,habitacion abajo escucha
766,reserve habitacion dias
767,atencion reserve habitacion
768,buffet recepcion hostal
769,hosteleria menuda
770,humedad pesar ambientador
771,limpiadoras hablando gritos
772,cancelaciones
773,cancelaciones claros
774,madrid oviedo buenas
775,varios ibis barcelona
776,conversacion telefono siguen
777,ingentes llamadas telefono
778,wifi primero funcionaba
779,wifi produjo problemas
780,bano 1metro cuadrado
781,sevilla demasiados interruptores
782,sabanas llegue habitacion
783,recepcion cambiaron habitacion
784,visitas trabajo sevilla
785,cafeteria enfrente hacen
786,ventilacion forzada habitaciones
787,habitaciones ruidosas ventilacion
788,practicamente metido poligono
789,poligono cerca carretera
790,tener localizacion mala
791,dificil tener localizacion
792,problema inquilino habitacion
793,musica volumen discoteca
794,dias cogido habitacion
795,cogido habitacion superior
796,accidente incapacita viaje
797,documentacion acredita accidente
798,edificio patio precioso
799,patio precioso carece
800,compramos caja smartbox
801,caja smartbox concretamente
802,limpieza habitaciones
803,peke limpieza habitaciones
804,centrico visitar ciudad
805,sencillamente levantabamos
806,hostal visitado peor
807,experiencia hostal llegue
808,hostel habitaciones correctas
809,interior hostel habitaciones
810,localizacion ejemplar habitacion
811,psseee volveria localizacion
812,shock escalera llena
813,verlo shock escalera
814,precio hostels ciudades
815,desencantados precio hostels
816,precio reservada habitacion
817,reservada habitacion dos
818,error aplicacion
819,error aplicacion alternativa
820,sola ventana habitacion
821,ventana habitacion bano
822,ademas insectos bano
823,ademas insectos
824,habitacion ventanas
825,habitacion sin ventanas
826,casa horrores empezar
827,casa horrores
828,publico cucarachas enormes
829,cambiaron habitacion pasado
830,habitacion dieron ventana
831,cualquier esquina habitacion
832,ventilacion humedad bano
833,sin ventilacion humedad
834,ubicacion buen wifi
835,buen wifi desayuno
836,hablado telefonicamente alojamiento
837,telefonicamente alojamiento
838,sheets towels dirty
839,clean sheets towels
840,sheets towels dirty
841,clean sheets towels
842,alojamos noche restaurante
843,restaurante come bien
844,noche viaje habitacion
845,viaje habitacion familiar
846,venta observado comensales
847,amigos entrar venta
848,salmorejo bote cobran
849,menu dia cobraron
850,boda fatal realizamos
851,desastre empezando acondicionado
852,alquiler habitacion triple
853,alquiler habitacion
854,casa cobrando hola
855,casa cobrando
856,vitroceramica llegamos restos
857,cliente siquiera limpia
858,cuatro television colgada
859,ropa cuatro television
860,sabian luz electrica
861,sabiamos jabon instalacion
862,sevilla parking incluido
863,parking incluido
864,viejo desalinado limpio
865,desalinado limpio dia
866,basico aunque economico
867,aunque economico podria
868,cucarachas entramos habitacion
869,habitacion uba cucaracha
870,decepcion lugar basico
871,ubicacion triana cerca
872,torremolinos 73 pajares
873,mantenimiento instalaciones debe
874,ventilacion cuela humo
875,traves sistema ventilacion
876,ubicacion encuentra barrio
877,ubicacion encuentra
878,ubicacion poner calefaccion
879,sofa comodos ubicacion
880,objetivo sevilla congreso
881,fibes objetivo sevilla
882,cuidado parking aunque
883,mal cuidado parking
884,palacio luxury nada
885,parecido barrio dejar
886,practico economico zonas
887,cocina practico economico
888,decepcionante lejos recepcionista
889,recepcionista desear camas
890,habitaciones varios disco
891,situados bajo habitaciones
892,habitation entramos olia
893,habitation entramos
894,reforma sustancial parece
895,reforma sustancial
896,caminando centro sevilla
897,sevilla aunque menos
898,imprevista buscamos hostal
899,habitacion cama doble
900,wifi funciona
901,habitacion doble llegamos
902,estancia comfortable hospedamos
903,traslademos habitacion acorde
904,hostal habitaciones
905,privado hostal habitaciones
906,telefonos atencion funcionaban
907,pudo resolver incidencia
908,acompane reserve booking
909,telefono buscarme secador
910,di conferma telefono
911,telefonata da parte
912,telefonos atencion funcionaban
913,pudo resolver incidencia
914,acompane reserve booking
915,telefono buscarme secador
916,di conferma telefono
917,telefonata da parte
918,telefonos atencion funcionaban
919,pudo resolver incidencia
920,acompane reserve booking
921,telefono buscarme secador
922,di conferma telefono
923,telefonata da parte
924,pension dieron apartamento
925,pesimo chicas pension
926,reformas pension trabajadores
927,reformas pension
928,incorrecta television habitacion
929,television habitacion pedi
930,bus cercanas habitacion
931,puerta habitacion ventana
932,pension puedo decir
933,noche pension puedo
934,pension explico sido
935,pension puesto pase
936,sabiendo pension llegar
937,asequible sabiendo pension
938,pega bueno ubicacion
939,bueno ubicacion bien
940,15 00h habitaciones
941,booking empresa extranjera
942,habitacion peor opinion
943,supuesto subir habitacion
944,dj nefasto sonido
945,bebida caliente dj
946,colchones pegados habitaciones
947,dos colchones pegados
948,producto hotelero ciudad
949,sujeto disponibilidad hotelera
950,bajaban recepcion sin
951,huespedes bajaban recepcion
952,ventanas habitaciones
953,directos ventanas habitaciones
954,sinvergunzeria habitacion supuestamente
955,rematar puerta encaja
956,picaron insectos dentro
957,insectos dentro cama
958,alojado hoteles cadena
959,hoteles cadena accor
960,hoteles cadena verdad
961,encuentran bastante descuidadas
962,desayuno lamentable servicio
963,servicio desayuno lamentable
964,recomendable estrellas mantenimiento
965,viejo poca limpieza
966,malaga obliga desplazarte
967,puesto afueras malaga
968,reservar habitacion noche
969,dejaron colgados noche
970,malorientas poca ventilacion
971,ventilacion orientado
972,interior habitaciones lavabo
973,categorias habitacion interior
974,policia local situado
975,pasan visa segunda
976,40c grados estrellas
977,almenos 40c grados
978,room dos habitaciones
979,necesita claramente renovacion
980,decepcion ascensores roto
981,conseguias llegar habitacion
982,roban coche servicio
983,robado alfombrillas traseras
984,trabajo servicio limpieza
985,necesario habitacion recomiendo
986,cancelacion reserva semana
987,cancelacion reserva
988,hora lunch organizado
989,lunch organizado nada
990,servicio limpieza habitacion
991,limpieza habitacion cada
992,creo habitacion debe
993,habitacion debe ser
994,minihabitacion estorbando dios
995,pasillo minihabitacion estorbando
996,apoyar moviles
997,apoyar moviles dejar
998,colocar movil tableta
999,movil tableta quiera
1000,habitacion bajo 27
1001,dias habitacion bajo
1002,incluido habitacion aire
1003,habitacion aire acondicionado
1004,temperatura habitacion insoportable
1005,aire acondicionado habitacion
1006,realice reserva llegar
1007,reserva llegar encontre
1008,habitaciones cierre ventanas
1009,estrellas habitaciones basicas
1010,reservar habitacion tipo
1011,escrito reservar habitacion
1012,aeropuerto servicio recepcion
1013,cerca aeropuerto servicio
1014,servicios minimos habitacion
1015,ser hostal ruidoso
1016,noche aeropuerto malaga
1017,aeropuerto malaga puse
1018,aeropuerto malaga demas
1019,aeropuerto malaga
1020,cercano aeropuerto bueno
1021,aeropuerto cercano
1022,maleducada viajo malaga
1023,viajo malaga suelo
1024,limpieza papelera recogida
1025,recogida papel incluso
1026,descansar habitacion malos
1027,imposible descansar habitacion
1028,playa resto decepcionante
1029,resto decepcionante
1030,ubicacion perfecta fotos
1031,web confunden habitaciones
1032,reforma habitacion ruidosa
1033,habitacion ruidosa entraba
1034,trabajo habitacion dieron
1035,noche trabajo habitacion
1036,hoteles visitados
1037,ver hoteles visitados
1038,resulta cheriff malos
1039,cheriff malos modos
1040,habitacion veia limpia
1041,positivo habitacion veia
1042,pareja restaurante aniversario
1043,restaurante aniversario
1044,despedida soltero restaurante
1045,entorno desfavorable ubicado
1046,tener habitacion pagada
1047,habitacion pagada sin
1048,habitaciones interiores ventanuco
1049,interiores ventanuco
1050,mail solicitando ampliacion
1051,decepcionada resolucion
1052,malaga calle utilizada
1053,taxis pegada
1054,telefono dos camas
1055,senoritas clientes cambian
1056,aeropuerto servicio recepcion
1057,aeropuerto servicio
1058,enhorabuena fotografo fotos
1059,darle enhorabuena fotografo
1060,reguleras limpieza normal
1061,limpieza normal mejorarla
1062,habitacion chula decorada
1063,regular habitacion chula
1064,habitacion aire acondicionado
1065,entrada habitacion camas
1066,experiencia horrible personal
1067,experiencia horrible
1068,recepcion ruido
1069,ruido recepcion ruido
1070,habitacion holor insoportable
1071,recepcion habitacion holor
1072,precio habitacion dejada
1073,calidad precio habitacion
1074,llegamos recepcion cobraron
1075,dieron habitacion primera
1076,ruido limpieza tampoco
1077,pasamos noche sitio
1078,semanas dieron opcion
1079,habitacion reservada hacia
